"Date","VKOSPI_Close","VKOSPI_Change"
2014-02-13,14.99,3.67
2014-02-14,14.14,-5.67
2014-02-17,14.27,0.92
2014-02-18,14.29,0.14
2014-02-19,14.54,1.75
2014-02-20,14.75,1.44
2014-02-21,14.14,-4.14
2014-02-24,14.36,1.56
2014-02-25,13.62,-5.15
2014-02-26,13.6,-0.15
2014-02-27,13.44,-1.18
2014-02-28,13.49,0.37
2014-03-03,14.51,7.56
2014-03-04,14.45,-0.41
2014-03-05,13.82,-4.36
2014-03-06,13.57,-1.81
2014-03-07,13.17,-2.95
2014-03-10,13.96,6
2014-03-11,13.4,-4.01
2014-03-12,14.49,8.13
2014-03-13,13.78,-4.9
2014-03-14,14.52,5.37
2014-03-17,14.34,-1.24
2014-03-18,13.43,-6.35
2014-03-19,13.45,0.15
2014-03-20,13.76,2.3
2014-03-21,12.76,-7.27
2014-03-24,12.84,0.63
2014-03-25,12.96,0.93
2014-03-26,12.59,-2.85
2014-03-27,12.97,3.02
2014-03-28,13.23,2
2014-03-31,13.82,4.46
2014-04-01,13.61,-1.52
2014-04-02,13.34,-1.98
2014-04-03,13.1,-1.8
2014-04-04,12.75,-2.67
2014-04-07,12.92,1.33
2014-04-08,12.97,0.39
2014-04-09,12.68,-2.24
2014-04-10,12.59,-0.71
2014-04-11,12.42,-1.35
2014-04-14,12.22,-1.61
2014-04-15,12.15,-0.57
2014-04-16,12.15,0
2014-04-17,12.11,-0.33
2014-04-18,11.47,-5.28
2014-04-21,11.96,4.27
2014-04-22,11.89,-0.59
2014-04-23,11.79,-0.84
2014-04-24,12.07,2.37
2014-04-25,12.2,1.08
2014-04-28,12.18,-0.16
2014-04-29,11.66,-4.27
2014-04-30,11.6,-0.51
2014-05-02,10.76,-7.24
2014-05-07,12,11.52
2014-05-08,11.36,-5.33
2014-05-09,10.71,-5.72
2014-05-12,10.38,-3.08
2014-05-13,10.21,-1.64
2014-05-14,11.17,9.4
2014-05-15,11.37,1.79
2014-05-16,11.4,0.26
2014-05-19,11.93,4.65
2014-05-20,11.99,0.5
2014-05-21,11.87,-1
