"Date","KODEX 200_Close","KODEX 200_NAV","KODEX 200_Premium"
2017-02-02,27215,27303.03,-0.32
2017-02-03,27235,27342.06,-0.39
2017-02-06,27300,27410.06,-0.4
2017-02-07,27275,27356.44,-0.3
2017-02-08,27145,27229.85,-0.31
2017-02-09,27185,27230.08,-0.17
2017-02-10,27235,27329.55,-0.35
2017-02-13,27250,27345.18,-0.35
2017-02-14,27175,27252.78,-0.29
2017-02-15,27260,27345.2,-0.31
2017-02-16,27245,27356.19,-0.41
2017-02-17,27245,27346.46,-0.37
2017-02-20,27335,27438.14,-0.38
2017-02-21,27585,27679.42,-0.34
2017-02-22,27640,27754.02,-0.41
2017-02-23,27650,27759.15,-0.39
2017-02-24,27440,27502.59,-0.23
2017-02-27,27315,27360.44,-0.17
2017-02-28,27365,27470.47,-0.38
2017-03-02,27620,27736.09,-0.42
2017-03-03,27355,27442.4,-0.32
2017-03-06,27385,27500.54,-0.42
2017-03-07,27550,27649.33,-0.36
2017-03-08,27600,27689.7,-0.32
2017-03-09,27545,27622.7,-0.28
2017-03-10,27565,27690.56,-0.45
2017-03-13,27875,28011.15,-0.49
2017-03-14,28130,28262.94,-0.47
2017-03-15,28165,28264.81,-0.35
2017-03-16,28370,28489.17,-0.42
2017-03-17,28495,28666.11,-0.6
2017-03-20,28460,28555.11,-0.33
2017-03-21,28735,28868.45,-0.46
2017-03-22,28640,28744.29,-0.36
2017-03-23,28685,28762.98,-0.27
2017-03-24,28640,28712.35,-0.25
2017-03-27,28460,28512.41,-0.18
2017-03-28,28525,28602.72,-0.27
2017-03-29,28620,28666.2,-0.16
2017-03-30,28595,28677.58,-0.29
2017-03-31,28540,28574.61,-0.12
2017-04-03,28610,28669.85,-0.21
2017-04-04,28550,28601.37,-0.18
2017-04-05,28500,28583,-0.29
2017-04-06,28390,28454.78,-0.23
2017-04-07,28340,28407.89,-0.24
2017-04-10,28175,28226.12,-0.18
2017-04-11,28060,28050.51,0.03
2017-04-12,28075,28124.8,-0.18
2017-04-13,28340,28418.18,-0.28
2017-04-14,28215,28234.4,-0.07
2017-04-17,28275,28314.44,-0.14
2017-04-18,28260,28326.51,-0.23
2017-04-19,28135,28150.26,-0.05
2017-04-20,28255,28277.91,-0.08
2017-04-21,28490,28509.29,-0.07
2017-04-24,28640,28699.85,-0.21
2017-04-25,28930,29046.51,-0.4
2017-04-26,29105,28710.68,1.37
2017-04-27,28685,28766.54,-0.28
2017-04-28,28745,28752.78,-0.03
2017-05-02,28970,28997.67,-0.1
2017-05-04,29260,29279.16,-0.07
2017-05-08,30025,30021.56,0.01
2017-05-10,29700,29749.42,-0.17
2017-05-11,30070,30096.52,-0.09
2017-05-12,29940,29946.85,-0.02
2017-05-15,30010,30010.93,0
2017-05-16,30050,30091,-0.14
2017-05-17,30035,30056.94,-0.07
2017-05-18,29975,29970.02,0.02
2017-05-19,29915,29930.32,-0.05
2017-05-22,30155,30183.56,-0.09
2017-05-23,30245,30256.51,-0.04
2017-05-24,30275,30292.15,-0.06
2017-05-25,30630,30644.8,-0.05
2017-05-26,30820,30818.09,0.01
2017-05-29,30790,30774.18,0.05
2017-05-30,30580,30580.17,0
2017-05-31,30585,30588.3,-0.01
2017-06-01,30500,30523.82,-0.08
2017-06-02,30875,30904.3,-0.09
2017-06-05,30830,30854.16,-0.08
2017-06-07,30645,30688.65,-0.14
2017-06-08,30800,30743.5,0.18
2017-06-09,31030,31056.9,-0.09
2017-06-12,30730,30740.88,-0.04
2017-06-13,30900,30919.72,-0.06
2017-06-14,30895,30911.55,-0.05
2017-06-15,30770,30785.9,-0.05
2017-06-16,30780,30796,-0.05
2017-06-19,30945,30978.15,-0.11
2017-06-20,31040,31049.67,-0.03
2017-06-21,30845,30869.58,-0.08
2017-06-22,31050,31065.25,-0.05
2017-06-23,31125,31143.65,-0.06
2017-06-26,31295,31307.61,-0.04
2017-06-27,31305,31330.18,-0.08
2017-06-28,31205,31202.53,0.01
2017-06-29,31420,31422.65,-0.01
2017-06-30,31325,31341.62,-0.05
2017-07-03,31395,31405.52,-0.03
2017-07-04,31200,31211.36,-0.04
2017-07-05,31320,31342.43,-0.07
2017-07-06,31325,31352.75,-0.09
2017-07-07,31200,31211.24,-0.04
2017-07-10,31305,31291.56,0.04
2017-07-11,31480,31504.85,-0.08
2017-07-12,31475,31503.53,-0.09
2017-07-13,31815,31782.63,0.1
2017-07-14,31860,31882.85,-0.07
2017-07-17,31995,31999.09,-0.01
2017-07-18,31985,32012.63,-0.09
2017-07-19,32025,32039.64,-0.05
2017-07-20,32190,32209.32,-0.06
2017-07-21,32325,32327.45,-0.01
2017-07-24,32315,32349.56,-0.11
2017-07-25,32155,32162.24,-0.02
2017-07-26,32080,32093.02,-0.04
2017-07-27,32185,32099.88,0.27
2017-07-28,31460,31460.77,0
2017-07-31,31460,31507.21,-0.15
2017-08-01,31740,31751.59,-0.04
2017-08-02,31825,31817.6,0.02
2017-08-03,31260,31277.61,-0.06
2017-08-04,31425,31394.31,0.1
2017-08-07,31445,31442.38,0.01
2017-08-08,31395,31387.73,0.02
2017-08-09,31000,30998.71,0
2017-08-10,30855,30883.68,-0.09
2017-08-11,30290,30318.28,-0.09
2017-08-14,30560,30540.67,0.06
2017-08-16,30745,30762.22,-0.06
2017-08-17,30920,30947.57,-0.09
2017-08-18,30890,30884.58,0.02
2017-08-21,30855,30859.21,-0.01
2017-08-22,30960,30980.1,-0.06
2017-08-23,30980,31016.42,-0.12
2017-08-24,31125,31117.93,0.02
2017-08-25,31145,31165.41,-0.07
2017-08-28,30965,30994.43,-0.09
2017-08-29,30885,30905.98,-0.07
2017-08-30,31000,31006.74,-0.02
2017-08-31,30810,30869.58,-0.19
2017-09-01,30810,30819.99,-0.03
2017-09-04,30465,30461.02,0.01
2017-09-05,30435,30448.4,-0.04
2017-09-06,30370,30360.14,0.03
2017-09-07,30750,30738.85,0.04
2017-09-08,30770,30785.23,-0.05
2017-09-11,31050,31025.43,0.08
2017-09-12,31075,31084.52,-0.03
