threshold,valid_accuracy,valid_precision,valid_recall,valid_specificity,valid_f1,valid_gmean,tn,fp,fn,tp
0.37,0.5300324675324676,0.19293078055964655,0.808641975308642,0.48785046728971965,0.31153388822829964,0.6280894566257286,522,548,31,131
0.5924110270667055,0.75,0.262987012987013,0.5,0.7878504672897196,0.3446808510638298,0.6276346338793453,843,227,81,81
0.59,0.7467532467532467,0.25961538461538464,0.5,0.7841121495327102,0.34177215189873417,0.6261438131662367,839,231,81,81
0.6026695384879267,0.7564935064935064,0.2668918918918919,0.4876543209876543,0.797196261682243,0.34497816593886466,0.6235031689450748,853,217,83,79
0.6,0.7540584415584416,0.26421404682274247,0.4876543209876543,0.794392523364486,0.34273318872017355,0.6224057732532513,850,220,83,79
0.36651145207694574,0.5211038961038961,0.18985507246376812,0.808641975308642,0.47757009345794393,0.3075117370892019,0.6214364196940542,511,559,31,131
0.61,0.7589285714285714,0.2664359861591695,0.47530864197530864,0.8018691588785046,0.34146341463414637,0.6173615965934592,858,212,85,77
0.3624904144750288,0.512987012987013,0.18803418803418803,0.8148148148148148,0.4672897196261682,0.3055555555555556,0.6170531471130044,500,570,30,132
0.36000000000000004,0.5064935064935064,0.18591549295774648,0.8148148148148148,0.45981308411214955,0.30275229357798167,0.6120968166722238,492,578,30,132
0.6209985816781636,0.7686688311688312,0.2730627306273063,0.4567901234567901,0.8158878504672897,0.3418013856812933,0.6104830152771233,873,197,88,74
0.6135612342127299,0.7597402597402597,0.2640845070422535,0.46296296296296297,0.8046728971962617,0.336322869955157,0.6103554281744146,861,209,87,75
0.63,0.775974025974026,0.28076923076923077,0.4506172839506173,0.8252336448598131,0.3459715639810427,0.6098069724686634,883,187,89,73
0.35791458188119785,0.5032467532467533,0.18487394957983194,0.8148148148148148,0.45607476635514016,0.3013698630136986,0.6096035402533136,488,582,30,132
0.62,0.7662337662337663,0.27007299270072993,0.4567901234567901,0.8130841121495327,0.3394495412844037,0.6094331726855206,870,200,88,74
0.633790927331249,0.7751623376623377,0.277992277992278,0.4444444444444444,0.8252336448598131,0.342042755344418,0.6056158095910175,883,187,90,72
0.3546915747715272,0.4943181818181818,0.1829436038514443,0.8209876543209876,0.44485981308411215,0.2992125984251969,0.6043379968573863,476,594,29,133
0.64,0.7792207792207793,0.28174603174603174,0.4382716049382716,0.8308411214953271,0.34299516908212563,0.6034352258250014,889,181,91,71
0.646905704036796,0.7816558441558441,0.2834008097165992,0.43209876543209874,0.8345794392523365,0.3422982885085575,0.6005170649997782,893,177,92,70
0.3503521208340747,0.4862012987012987,0.18132611637347767,0.8271604938271605,0.43457943925233644,0.2974472807991121,0.599555621755891,465,605,28,134
0.35000000000000003,0.48457792207792205,0.18083670715249664,0.8271604938271605,0.4327102803738318,0.2967884828349945,0.5982648654217526,463,607,28,134
0.65,0.7816558441558441,0.27983539094650206,0.41975308641975306,0.8364485981308412,0.3358024691358025,0.592538505666,895,175,94,68
0.3472469630606732,0.476461038961039,0.17842876165113183,0.8271604938271605,0.42336448598130844,0.29353778751369114,0.5917688546157029,453,617,28,134
0.6630716875843969,0.7873376623376623,0.2863247863247863,0.41358024691358025,0.8439252336448598,0.3383838383838384,0.590788292459695,903,167,95,67
0.66,0.7857142857142857,0.2838983050847458,0.41358024691358025,0.8420560747663551,0.33668341708542715,0.5901336791922228,901,169,95,67
0.6740437237371044,0.7954545454545454,0.2972972972972973,0.4074074074074074,0.8542056074766355,0.34375,0.589923462777101,914,156,96,66
0.67,0.7930194805194806,0.29333333333333333,0.4074074074074074,0.8514018691588785,0.34108527131782945,0.5889545213136914,911,159,96,66
0.3441218318033556,0.46915584415584416,0.17801047120418848,0.8395061728395061,0.4130841121495327,0.2937365010799136,0.588885949952501,442,628,26,136
0.34,0.46266233766233766,0.17700258397932817,0.845679012345679,0.4046728971962617,0.29273504273504275,0.5849986119846774,433,637,25,137
0.6833895678134088,0.801948051948052,0.3047619047619048,0.3950617283950617,0.8635514018691589,0.34408602150537637,0.5840857037973181,924,146,98,64
0.33771254676535367,0.461038961038961,0.17654639175257733,0.845679012345679,0.402803738317757,0.2921108742004264,0.5836460122280526,431,639,25,137
0.68,0.7987012987012987,0.29906542056074764,0.3950617283950617,0.8598130841121495,0.3404255319148936,0.5828200778165028,920,150,98,64
0.6900000000000001,0.8060064935064936,0.3103448275862069,0.3888888888888889,0.8691588785046729,0.3452054794520548,0.581383032543602,930,140,99,63
0.3308063245566085,0.45292207792207795,0.1751269035532995,0.8518518518518519,0.3925233644859813,0.2905263157894737,0.5782488693741671,420,650,24,138
0.33,0.450487012987013,0.17446270543615677,0.8518518518518519,0.3897196261682243,0.28961175236096537,0.5761799937991715,417,653,24,138
0.6963115621224806,0.8076298701298701,0.3096446700507614,0.3765432098765432,0.8728971962616823,0.3398328690807799,0.5733092639863835,934,136,101,61
0.3265991937837341,0.4439935064935065,0.1735330836454432,0.8580246913580247,0.3813084112149533,0.28868120456905505,0.5719895382303151,408,662,23,139
0.7227306380318416,0.8238636363636364,0.34104046242774566,0.36419753086419754,0.8934579439252337,0.3522388059701492,0.5704342005074492,956,114,103,59
0.7000000000000001,0.8092532467532467,0.31088082901554404,0.37037037037037035,0.8757009345794392,0.3380281690140845,0.5695030109436353,937,133,102,60
0.72,0.8206168831168831,0.3333333333333333,0.36419753086419754,0.8897196261682243,0.3480825958702065,0.5692395725982903,952,118,103,59
0.7095958166842172,0.8141233766233766,0.31891891891891894,0.36419753086419754,0.8822429906542056,0.3400576368876081,0.5668427637524421,944,126,103,59
0.7100000000000001,0.8141233766233766,0.31891891891891894,0.36419753086419754,0.8822429906542056,0.3400576368876081,0.5668427637524421,944,126,103,59
0.73,0.8262987012987013,0.34523809523809523,0.35802469135802467,0.897196261682243,0.3515151515151515,0.5667613383747683,960,110,104,58
0.76,0.8311688311688312,0.35625,0.35185185185185186,0.9037383177570093,0.35403726708074534,0.5638989277275503,967,103,105,57
0.75,0.8303571428571429,0.35403726708074534,0.35185185185185186,0.902803738317757,0.35294117647058826,0.5636072809908309,966,104,105,57
0.7593943781296112,0.8303571428571429,0.35403726708074534,0.35185185185185186,0.902803738317757,0.35294117647058826,0.5636072809908309,966,104,105,57
0.32158550898229793,0.4342532467532468,0.17097170971709716,0.8580246913580247,0.37009345794392523,0.28512820512820514,0.5635151506623052,396,674,23,139
0.74,0.8287337662337663,0.3496932515337423,0.35185185185185186,0.9009345794392524,0.3507692307692308,0.5630235342976972,964,106,105,57
0.32,0.4318181818181818,0.17034313725490197,0.8580246913580247,0.36728971962616824,0.2842535787321063,0.5613765655255111,393,677,23,139
0.79,0.8409090909090909,0.3819444444444444,0.3395061728395062,0.9168224299065421,0.35947712418300654,0.5579129630605355,981,89,107,55
0.3151780644400353,0.42613636363636365,0.1696969696969697,0.8641975308641975,0.3598130841121495,0.28368794326241137,0.5576285312484929,385,685,22,140
0.7835834581767694,0.8376623376623377,0.3716216216216216,0.3395061728395062,0.9130841121495327,0.3548387096774194,0.5567743639899796,977,93,107,55
0.78,0.8352272727272727,0.36423841059602646,0.3395061728395062,0.9102803738317757,0.3514376996805112,0.5559188843082605,974,96,107,55
0.77,0.8336038961038961,0.35947712418300654,0.3395061728395062,0.908411214953271,0.3492063492063492,0.5553478324017039,972,98,107,55
0.31,0.41883116883116883,0.1686602870813397,0.8703703703703703,0.35046728971962615,0.28256513026052105,0.5523009548751214,375,695,21,141
0.3096509134894228,0.4172077922077922,0.16825775656324582,0.8703703703703703,0.3485981308411215,0.282,0.5508261833379072,373,697,21,141
0.8,0.8425324675324676,0.38405797101449274,0.3271604938271605,0.9205607476635514,0.35333333333333333,0.5487905873860334,985,85,109,53
0.3043406946576485,0.4090909090909091,0.16705882352941176,0.8765432098765432,0.3383177570093458,0.28063241106719367,0.5445641676489598,362,708,20,142
0.8011569556370358,0.8425324675324676,0.38235294117647056,0.32098765432098764,0.9214953271028037,0.348993288590604,0.5438645268028428,986,84,110,52
0.2996758464149599,0.39935064935064934,0.16473317865429235,0.8765432098765432,0.32710280373831774,0.27734375,0.5354621756467977,350,720,20,142
0.3,0.39935064935064934,0.16473317865429235,0.8765432098765432,0.32710280373831774,0.27734375,0.5354621756467977,350,720,20,142
0.296306353975118,0.39204545454545453,0.16457142857142856,0.8888888888888888,0.3168224299065421,0.2777242044358727,0.5306787518779172,339,731,18,144
0.81,0.8465909090909091,0.392,0.30246913580246915,0.9289719626168225,0.34146341463414637,0.530080509656254,994,76,113,49
0.8400000000000001,0.8571428571428571,0.43636363636363634,0.2962962962962963,0.9420560747663551,0.35294117647058826,0.5283253977017363,1008,62,114,48
0.8387392767991932,0.8563311688311688,0.43243243243243246,0.2962962962962963,0.9411214953271028,0.3516483516483517,0.5280632665034112,1007,63,114,48
0.8300000000000001,0.8522727272727273,0.41379310344827586,0.2962962962962963,0.9364485981308411,0.34532374100719426,0.5267506538183194,1002,68,114,48
0.8200000000000001,0.849025974025974,0.4,0.2962962962962963,0.9327102803738317,0.3404255319148936,0.525698203908142,998,72,114,48
0.8158680948802041,0.8457792207792207,0.3870967741935484,0.2962962962962963,0.9289719626168225,0.3356643356643357,0.5246436427580782,994,76,114,48
0.29000000000000004,0.38392857142857145,0.16271186440677965,0.8888888888888888,0.3074766355140187,0.27507163323782235,0.5227930421317311,329,741,18,144
0.28828938124716064,0.3823051948051948,0.16234498308906425,0.8888888888888888,0.305607476635514,0.27454718779790277,0.5212015832119844,327,743,18,144
