NASDAQ_return(%),Brent Crude Oil_return(%),GJR_VaR_5_t1,Gold Spot_return(%),KOSPI 200 Volume,KOSPI 200_DMI14,KOSPI 200_OG,Signal2_Buy,Signal2_Sell,VKOSPI_Close,Risk_Label
0.6873650286140918,0.7289178908631759,0.6345922313531649,0.6663284989613428,0.0007353438432054151,0.4899518130298172,0.525393848027995,0,1,0.5601503759398496,0
0.5781943926102052,0.521753479800944,0.6538783428998743,0.4512487508660659,0.0005215810980875619,0.49048377762062967,0.6839109129981086,0,0,0.5699248120300753,0
0.549931230527258,0.5158420600063114,0.6720969245523487,0.506814884311977,0.0005231357362338735,0.5431494695727334,0.5661321171297069,0,0,0.5062656641604011,1
0.6586427221347874,0.655805542468334,0.6509083094673249,0.5811248487735462,0.000511475950136536,0.5077390226246017,0.6917914728355803,0,0,0.5075187969924813,0
0.5499778089368674,0.6186874731557376,0.6649667475668257,0.5671840358783,0.00055733777545273,0.5365906432568538,0.6462770580860346,1,0,0.47869674185463656,0
0.6214596692183639,0.605937221904664,0.6826446769481498,0.6112095386434806,0.0005907624955984307,0.5986139852678848,0.5471834075163166,0,0,0.4962406015037594,0
0.5652406196607238,0.4921005565399508,0.699308116017327,0.43838947564950553,0.0004003193226752524,0.5989337296572813,0.6569982569401125,0,0,0.49047619047619045,0
0.3932651252797865,0.4532661269795505,0.6940497805717579,0.4855159951826171,0.0003707811978953308,0.5525285526715479,0.5676015113231241,0,0,0.5283208020050125,0
0.4899684462859391,0.5953241877347932,0.6940312409507449,0.5963951821689953,0.0004259708520893947,0.5260663835339228,0.42165247346019263,0,0,0.5365914786967418,0
0.6343901053386145,0.5830679538104167,0.7043830375820994,0.5906945622253215,0.00039837602499236276,0.5130352457802193,0.5108510104388806,0,0,0.5383458646616541,1
0.579301363673101,0.5582419042430362,0.6923345264846812,0.5585333540387508,0.0003606760499443051,0.47582498923168437,0.5583664842553125,0,1,0.5481203007518796,0
0.669114012436714,0.4289140667329467,0.7080980259089215,0.57706914940479,0.00041975229950414817,0.4818286105116606,0.6669981525590769,0,0,0.5165413533834586,0
0.3037127121051345,0.4036223942555526,0.7224578995607486,0.47383865131324343,0.0003225874153596694,0.5288275126443956,0.5628249726182922,0,0,0.5020050125313282,1
0.5749859167813807,0.6623494601306297,0.6185197878962003,0.5878501614022001,0.0006817088271576628,0.4787535676627807,0.3263996499469539,0,0,0.5395989974937343,0
0.7060856688811433,0.5154009222245219,0.6391838291937776,0.6305963553959268,0.000484269782576082,0.4786285383222041,0.6161536902413799,0,0,0.5250626566416041,0
0.7477327246597832,0.6369831217081802,0.656451463043036,0.5980161845332359,0.0005728841569158466,0.5896674405067527,0.6015089942167821,0,0,0.48446115288220554,0
0.6192849543477529,0.4911913737140402,0.6744703066785731,0.5770158866561542,0.0004034285989678757,0.5902811309975804,0.6498262948536809,0,0,0.4523809523809524,0
0.6066013723330098,0.674497210060986,0.6904815736230875,0.5653419554515033,0.0004275254902357064,0.6146440650840646,0.6149847299467572,1,0,0.45263157894736844,0
0.5409909688451796,0.440150389645377,0.7062824455045927,0.4849187027111078,0.0005557831373064183,0.6195648507536559,0.6923263909585048,0,0,0.4273182957393484,0
0.6279786043408051,0.5130800163032854,0.7204770642985865,0.6531329425561008,0.0004710553583324329,0.5966764735817186,0.5443243855291297,0,0,0.3952380952380952,0
0.36131602639690297,0.4073717059474343,0.7346688513938145,0.503618495390835,0.0004726099964787446,0.608009197821157,0.6352547510443971,0,0,0.3979949874686716,0
0.5808297328838682,0.5453229459038507,0.7485946928723991,0.5671840358783,0.00037933170770004495,0.565808966567292,0.40049841738425174,0,0,0.37719298245614036,0
0.5394796539164631,0.37163185027745105,0.7617172030425556,0.5254566957805362,0.0003839956221389799,0.6190182942596555,0.5650932377421115,0,0,0.40175438596491225,0
0.39122104023586357,0.4890778953292264,0.7748328168001951,0.5971087119933891,0.0004757192727713679,0.6429832636229542,0.61631701770987,0,0,0.38345864661654144,0
0.5854812889115829,0.3476142939004408,0.7867824903748337,0.4427324670434877,0.0004321894046746414,0.5922682141537056,0.49618749969409637,0,0,0.381453634085213,0
0.6058095246187982,0.5934531041409472,0.7992906092221888,0.61085879448347,0.0004143110659920573,0.6388103778231022,0.5446207632658588,0,0,0.3847117794486215,0
0.5969467500314455,0.503689000090663,0.8115693253003347,0.5438053182333722,0.0003124822674086436,0.6082171141398965,0.6081678417351176,0,0,0.35538847117794486,1
0.7510566443325704,0.5575671017200878,0.596902194581867,0.6301530868379064,0.00044773578613775797,0.49315224172669203,0.5533236455880031,0,0,0.43308270676691724,0
0.6103172718555091,0.5575331262591083,0.6196235794651002,0.5690624646399124,0.000370003878822175,0.5005580021136846,0.7664100771017732,0,1,0.4015037593984962,0
0.8611150259443685,0.7024054701293596,0.6355388181005721,0.670186944640126,0.00036689460252955174,0.5882623847929385,0.7348912923748047,1,0,0.3864661654135338,0
0.6767773496723932,0.5453229459038507,0.6551222358496909,0.5425314987373764,0.00044773578613775797,0.6513931596439634,0.7181798810037725,0,0,0.37994987468671676,0
0.587636704041848,0.7009560529555688,0.6737914784457814,0.5801399633784643,0.0002821668235555662,0.6700480539797832,0.6610402974877874,0,0,0.36942355889724304,0
0.6779195299654112,0.6155264537445672,0.6878667564730014,0.6364033771892283,0.0005215810980875619,0.7782282859203216,0.6323167806276367,0,0,0.35538847117794486,0
0.6101808772112243,0.5734827929749722,0.704430851825038,0.5556030883429451,0.0005363501604775227,0.817576131700821,0.6577079438905008,0,0,0.3486215538847118,0
0.6238791508977319,0.5674607189190454,0.7200957791592875,0.6061009155778125,0.00046639144389349794,0.8108325943396313,0.5941111526962585,0,0,0.3614035087719298,0
0.7775837786308935,0.6758438644823733,0.7348649718606781,0.5762673366535487,0.0006008676435494565,0.826039063578572,0.5833789476057283,0,0,0.35889724310776944,0
