threshold,valid_accuracy,valid_precision,valid_recall,valid_specificity,valid_f1,valid_gmean,tn,fp,fn,tp
0.24238652657170046,0.48457792207792205,0.17997293640054127,0.8209876543209876,0.4336448598130841,0.2952275249722531,0.5966716653791241,464,606,29,133
0.24000000000000002,0.4797077922077922,0.17852348993288591,0.8209876543209876,0.4280373831775701,0.2932745314222712,0.5928013218411773,458,612,29,133
0.53,0.7978896103896104,0.3013698630136986,0.4074074074074074,0.8570093457943925,0.3464566929133858,0.5908908153745595,917,153,96,66
0.5498424385722254,0.8035714285714286,0.30952380952380953,0.4012345679012346,0.8644859813084113,0.34946236559139787,0.5889496236240882,925,145,97,65
0.55,0.8035714285714286,0.30952380952380953,0.4012345679012346,0.8644859813084113,0.34946236559139787,0.5889496236240882,925,145,97,65
0.23794214094868127,0.47483766233766234,0.17709720372836218,0.8209876543209876,0.4224299065420561,0.2913472070098576,0.5889055425847143,452,618,29,133
0.54,0.8003246753246753,0.3037383177570093,0.4012345679012346,0.8607476635514019,0.34574468085106386,0.5876748393942385,921,149,97,65
0.5800000000000001,0.8206168831168831,0.33879781420765026,0.38271604938271603,0.8869158878504673,0.35942028985507246,0.5826121735193103,949,121,100,62
0.5788031988993179,0.8189935064935064,0.33513513513513515,0.38271604938271603,0.8850467289719626,0.3573487031700288,0.5819979275145616,947,123,100,62
0.56,0.8060064935064936,0.3103448275862069,0.3888888888888889,0.8691588785046729,0.3452054794520548,0.581383032543602,930,140,99,63
0.5700000000000001,0.814935064935065,0.3263157894736842,0.38271604938271603,0.8803738317757009,0.3522727272727273,0.5804594687634271,942,128,100,62
0.23545326480530862,0.4642857142857143,0.17408376963350786,0.8209876543209876,0.4102803738317757,0.28725701943844495,0.5803749837183607,439,631,29,133
0.59,0.8238636363636364,0.3446327683615819,0.3765432098765432,0.891588785046729,0.35988200589970504,0.5794149661610604,954,116,101,61
0.5648894751515044,0.8092532467532467,0.3147208121827411,0.38271604938271603,0.8738317757009346,0.34540389972144847,0.578298750665558,935,135,100,62
