stage,C,l1_ratio,best_cutoff,valid_accuracy,valid_precision,valid_recall,valid_specificity,valid_f1,valid_gmean,valid_log_loss,valid_roc_auc,valid_pr_auc,tn,fp,fn,tp
refine,0.2033917501372292,0.717,0.3668598817324986,0.663961038961039,0.23076923076923078,0.6666666666666666,0.6635514018691588,0.34285714285714286,0.6651072103398864,0.5076467054043605,0.718108918887735,0.33524283192850596,710.0,360.0,54.0,108.0
refine,0.09085175756516868,0.55,0.41000000000000003,0.7443181818181818,0.2743362831858407,0.5740740740740741,0.7700934579439253,0.3712574850299401,0.6648990064811804,0.5088898380608468,0.7175031729548863,0.33067327294659427,824.0,246.0,69.0,93.0
refine,0.09085175756516868,0.717,0.36667040595645967,0.6420454545454546,0.22376237623762377,0.6975308641975309,0.6336448598130842,0.33883058470764615,0.6648209132238124,0.5089253402045613,0.7130668051228798,0.33250946008315446,678.0,392.0,49.0,113.0
coarse,0.5623413251903491,0.9,0.35000000000000003,0.6501623376623377,0.22606924643584522,0.6851851851851852,0.6448598130841121,0.33996937212863704,0.6647167746089467,0.5117790920746415,0.7145725164416754,0.3406227196754072,690.0,380.0,51.0,111.0
refine,0.5956621435290104,0.9,0.35000000000000003,0.6501623376623377,0.22606924643584522,0.6851851851851852,0.6448598130841121,0.33996937212863704,0.6647167746089467,0.511889913485937,0.7142898350063458,0.34112188436770435,690.0,380.0,51.0,111.0
refine,0.09085175756516868,0.567,0.41000000000000003,0.7435064935064936,0.2735294117647059,0.5740740740740741,0.7691588785046729,0.3705179282868526,0.6644954258634316,0.5088606506455532,0.7173127956617052,0.3307735488237957,823.0,247.0,69.0,93.0
refine,0.10391223038351693,0.633,0.41000000000000003,0.737012987012987,0.26857142857142857,0.5802469135802469,0.7607476635514019,0.3671875,0.6643955777916384,0.507793697947994,0.7172781816083997,0.3326422068804784,814.0,256.0,68.0,94.0
refine,0.26607250597988097,0.55,0.38,0.6915584415584416,0.24170616113744076,0.6296296296296297,0.7009345794392523,0.3493150684931507,0.6643261094123403,0.505650940219759,0.7191992615668629,0.3367403976706857,750.0,320.0,60.0,102.0
refine,0.26607250597988097,0.567,0.38,0.6915584415584416,0.24170616113744076,0.6296296296296297,0.7009345794392523,0.3493150684931507,0.6643261094123403,0.5058409033186788,0.7191473404869043,0.3375890869028399,750.0,320.0,60.0,102.0
refine,0.5207948328595462,0.517,0.35000000000000003,0.6452922077922078,0.22444889779559118,0.691358024691358,0.6383177570093458,0.3388804841149773,0.6643087411824411,0.505587312434135,0.7158820814584054,0.33784617802244354,683.0,387.0,50.0,112.0
