Date,GARCH_mu_t1,GARCH_sigma_t1,GARCH_VaR_5_t1,GJR_mu_t1,GJR_sigma_t1,GJR_VaR_5_t1,return(%),Risk_Label
2019-12-11,0.038745546550551825,0.7856425406472823,-1.2101124834836532,0.02197202041766044,0.8505626957326291,-1.336071857146835,0.3466831782489877,Low Risk
2019-12-12,0.0393159724960387,0.8529770663105002,-1.316610953256595,0.022509206974340744,0.8326802896577522,-1.3070667485493173,1.7085920190402657,Low Risk
2019-12-13,0.0397503001927701,1.017095649322327,-1.5772177965493313,0.023063333256759775,0.8155947914090509,-1.2792839558410551,1.7385091575225067,Low Risk
2019-12-16,0.03974196965510321,0.9610724587742453,-1.4880123689460565,0.02298867764449254,0.7997204616250184,-1.2539059939377755,-0.12070830750988437,Low Risk
2019-12-17,0.04005832519316958,0.8575596619184745,-1.3233646090749533,0.02354940045133177,0.7840755347947419,-1.228462528764337,1.5886338285107242,Low Risk
2019-12-18,0.04003786527986396,1.052615382717475,-1.6333243852674566,0.02351811897199052,0.7687384564261354,-1.2038850861930808,-0.06115751516580384,Low Risk
2019-12-19,0.040131920679473146,0.9245098864644461,-1.4294216357320615,0.023548097683877337,0.7535526028397088,-1.1794867445662112,0.03058343288489239,Low Risk
2019-12-20,0.0403445570811795,0.8231348094631451,-1.2679683930663481,0.023782401128848198,0.7390002766841886,-1.1559537841340004,0.33920184766354733,Low Risk
2019-12-23,0.04026735838683078,0.9544177803330155,-1.4765770507113667,0.02367564720113381,0.726942767990893,-1.1367198951942137,-0.14910790890533593,Low Risk
2019-12-24,0.03996946243515754,0.8836325273656961,-1.3644667885826662,0.02319079219362326,0.745516355163676,-1.166995149669386,-0.6703331691979232,Low Risk
2019-12-26,0.04020804885663618,0.8231745392679862,-1.2680575065236281,0.023456146794077787,0.7313294786100296,-1.1440371662265343,0.3952586851638255,Low Risk
2019-12-27,0.04043783167927162,0.8847110668497087,-1.365543735550121,0.02373502926185945,0.7177342970371484,-1.1220048959192077,0.3869314230946064,Low Risk
2019-12-30,0.04020442232594418,0.8441529516597602,-1.301343396509545,0.023356291764703614,0.7223054600633853,-1.1297321049783184,-0.48560232287028837,Low Risk
2020-01-02,0.03958347820133805,0.8177193330820844,-1.260227894273566,0.02271829883655398,0.8005414715189236,-1.2555265683556012,-1.1709998010051788,Low Risk
2020-01-03,0.03964596320478491,0.910107705046477,-1.4068669862323908,0.02280451446047991,0.783965787031489,-1.2288581311048714,0.1342250570024971,Low Risk
2020-01-06,0.039255692847087624,0.8191503671226493,-1.2628432687949274,0.022315940497879074,0.809203717749884,-1.2698281796646795,-0.7976966610458671,Low Risk
2020-01-07,0.039655630120734475,0.8286881365930594,-1.2777751945598173,0.02276473708996679,0.7926052346354151,-1.2430214896834755,0.9660973919181269,Low Risk
2020-01-08,0.039276741337035,0.8990957985205003,-1.3902060487857648,0.022369467808983703,0.8018335368213172,-1.2582555720023145,-0.6234404012872846,Low Risk
2020-01-09,0.039646217131353606,0.8491989280037742,-1.310653346290168,0.02298827310346746,0.7863086976938349,-1.2328659212817634,1.7094399402785756,Low Risk
2020-01-10,0.04003564187881138,0.9598080011981039,-1.4863031932283153,0.02343873587443317,0.7706380135558525,-1.2075177792617955,0.8960764274869436,Low Risk
2020-01-13,0.04036459752332718,0.9128496807612709,-1.41146091541136,0.023934683868365413,0.7557688447105965,-1.1834359127649565,1.0281600013928072,Low Risk
2020-01-14,0.04062633973418592,0.875827412239492,-1.3522542051175033,0.024234971416136317,0.7412250917233099,-1.1598784531338928,0.46537792596426064,Low Risk
2020-01-15,0.040309583416722125,0.9032640259033546,-1.3962863673580799,0.023806233969326435,0.7523246506792506,-1.1781398405050705,-0.595411001986444,Low Risk
2020-01-16,0.040658209519989434,0.892297750301025,-1.3786658080025358,0.024320273962260924,0.7383080471506475,-1.1553890930990647,1.0091065515552338,Low Risk
2020-01-17,0.04078805743245262,0.8861351590270686,-1.3685928852069826,0.024443453674274054,0.7244402472652937,-1.1330037102281634,0.17159092950694554,Low Risk
2020-01-20,0.041119914795711636,0.8549512429609237,-1.3187295129173449,0.0248977524535543,0.711502740659748,-1.111973181051324,0.7489191735618562,Low Risk
2020-01-21,0.04051852781194219,0.8803319718222898,-1.3599861491216412,0.024240025515755038,0.7874690840407238,-1.2342615403906954,-1.1420425203111244,Low Risk
2020-01-22,0.04088624339034182,0.9335940326410684,-1.4445929538609679,0.02476568484917133,0.772260795398284,-1.2095889839613299,1.3055320842267297,Low Risk
2020-01-23,0.04037527710085963,0.9340627053063608,-1.4461432257649314,0.024159607813067387,0.8522697520732722,-1.338329744752982,-1.2327370208168695,Low Risk
2020-01-28,0.03979429710475579,1.039531974569622,-1.6133347238157738,0.0239671556057381,1.318060960704918,-2.081066573548799,-3.2131811317736036,High Risk
2020-01-29,0.039909204200356464,1.3862661543362262,-2.1644504295849236,0.024121761600590895,1.2769836653445188,-2.015189612039311,0.41244948888247057,Low Risk
2020-01-30,0.03960212707559664,1.0215505575903836,-1.585112062330453,0.023665603821562884,1.3899466959492532,-2.19639174139721,-1.926741430859309,High Risk
2020-01-31,0.039152747585715075,1.177562087341546,-1.834072937520888,0.02337826807734838,1.4176981431870637,-2.2412409022012563,-1.340566900472001,High Risk
