Date,Actual_Return (%),GARCH_Vol,GJR_GARCH_Vol,VaR_95,Risk_Label
2019-07-01,-0.08292121205639255,0.7558038200811152,0.7227560142710029,-1.119204074792495,lowrisk
2019-07-02,-0.46995524854315845,0.7378177423866625,0.6809935897403893,-1.0523692442151773,lowrisk
2019-07-03,-1.3130750455848776,0.7337029739915689,0.7098940042321993,-1.0986202540136738,highrisk
2019-07-04,0.793558282337402,0.8050821451558745,0.8379827136190383,-1.3036080459571533,lowrisk
2019-07-05,-0.06923151958483476,0.8080741380677873,0.7878787183561051,-1.2234237158498305,lowrisk
2019-07-08,-2.1367614856042185,0.7866083419876986,0.8077191131493238,-1.255175450561014,highrisk
2019-07-09,-0.3095408104060801,0.9663043443662399,1.0996308766262837,-1.7223387791940805,lowrisk
2019-07-10,0.3839916649804936,0.9399625543570459,1.0093120899587307,-1.5777963855777843,lowrisk
2019-07-11,1.1211331558966917,0.9143823909906612,1.011892517152407,-1.5819259929041032,lowrisk
2019-07-12,0.33060086336201583,0.9313898342795569,0.9502279788309386,-1.4832406551234207,lowrisk
2019-07-15,-0.014662226537970611,0.9050385327651479,0.9751266007495217,-1.5230873641265665,lowrisk
2019-07-16,0.5158229579963836,0.8773045749976061,0.9015025717122652,-1.4052625595940251,lowrisk
2019-07-17,-0.9422014645208915,0.8600658045830157,0.9004064140748976,-1.4035083149398193,highrisk
2019-07-18,-0.2988096005919089,0.8766974908259269,0.9308768282809539,-1.4522718863553064,lowrisk
2019-07-19,1.4232932965004406,0.8556834777009984,0.8992691121765436,-1.4016882247380154,lowrisk
2019-07-22,0.0,0.9088402804531258,0.8735391313717498,-1.3605110438828796,lowrisk
2019-07-23,0.4977668030981558,0.8808127842956436,0.9133518401736979,-1.4242256312783443,lowrisk
2019-07-24,-0.9833681366721057,0.862645696740515,0.8334046401263216,-1.296281489376801,highrisk
2019-07-25,-0.06590000332347791,0.8824478582482694,0.9315185566144616,-1.4532988814335068,lowrisk
2019-07-26,-0.2897574080876,0.8564391322860708,0.8520389797575413,-1.326103104050054,lowrisk
2019-07-29,-1.6667052485211646,0.8364702127452681,0.869253974070726,-1.3536532580759004,highrisk
2019-07-30,0.4471824779127037,0.9351603799172213,1.0275420383757716,-1.6069708295326137,lowrisk
2019-07-31,-0.9751859782740097,0.9116976826539208,0.9595305151192743,-1.4981280435774726,highrisk
2019-08-01,-0.22928772921032,0.9257185164014903,1.0240305568474573,-1.6013512019449425,lowrisk
2019-08-02,-1.0364825524017665,0.8998173441864453,0.9556003639118416,-1.491838394615654,highrisk
2019-08-05,-2.230085065673275,0.9201673083351413,1.0264669981153192,-1.6052503802416855,highrisk
2019-08-06,-1.4806375992555254,1.0826382067614773,1.2667596575598332,-1.9898046623134706,highrisk
2019-08-07,-0.5579657347412921,1.12339045720792,1.294419774044228,-2.0340707512621203,lowrisk
2019-08-08,0.15860189737184932,1.0957899220767593,1.2627413792688684,-1.9833739784677022,lowrisk
2019-08-09,0.9660054250351735,1.0576388702566988,1.204136322139876,-1.8895849059171126,lowrisk
2019-08-12,0.1960016260706871,1.0503131311849216,1.1609951908316216,-1.8205436509059865,lowrisk
2019-08-13,-0.9917843636018187,1.0149705063255836,1.1358892536549345,-1.7803651632691238,highrisk
2019-08-14,0.799704381880128,1.0203487434014393,1.141521811594108,-1.7893792724788424,lowrisk
2019-08-16,-0.37739125074042557,1.0061899847967695,1.091777945080797,-1.7097712773002876,lowrisk
2019-08-19,0.47543624139803076,0.9794168698574657,1.0820948962847199,-1.6942749326069062,lowrisk
2019-08-20,1.1458490204268403,0.9540574354141594,1.0226995588703174,-1.5992211286721207,lowrisk
2019-08-21,0.1278071140122824,0.9690395367009055,1.0046610840884223,-1.57035311108283,lowrisk
2019-08-22,-0.8160796422291916,0.9376810871165708,0.9945833678433658,-1.5542251571765404,lowrisk
2019-08-23,-0.0663609513218461,0.9375298615674437,0.990780752820399,-1.5481396117689827,lowrisk
2019-08-26,-1.5424201139503748,0.9083081495668758,0.9573925715810995,-1.4947065685131349,highrisk
2019-08-27,0.5181041676301164,0.9793461656030668,1.0906098454044386,-1.7079018996277915,lowrisk
2019-08-28,0.7975991772308346,0.955427618776116,1.0116555706328383,-1.5815467936437813,lowrisk
2019-08-29,-0.4785829115241406,0.9460861758316251,1.009627800984718,-1.5783016362467868,lowrisk
2019-08-30,1.827407601123298,0.9269177191052128,0.9852716700416801,-1.5393231070212234,lowrisk
2019-09-02,0.030878078665169433,1.0168450361974868,0.9499663481934899,-1.4828219524373518,lowrisk
2019-09-03,-0.32087344864416173,0.9826262556785399,1.0237106384800925,-1.6008392180234696,lowrisk
2019-09-04,1.3232498442871827,0.955603126362073,0.91803687543388,-1.4317233649799284,lowrisk
2019-09-05,1.0453785255121077,0.9859496127655989,0.9417627181442347,-1.4696932073842708,lowrisk
2019-09-06,0.41134323539217166,0.9901274000592684,0.9288252577294668,-1.4489886389919848,lowrisk
2019-09-09,0.7017817790766114,0.9622167435242104,0.9192613532061235,-1.4336829677897123,lowrisk
2019-09-10,0.5073182545376893,0.9472569058125794,0.8771771726880204,-1.3663332124408374,lowrisk
2019-09-11,0.7709402708337004,0.9250287749553269,0.873433540414468,-1.3603420605487042,lowrisk
2019-09-16,0.434732552052131,0.9165499694320203,0.8360188915025789,-1.300465227504615,lowrisk
2019-09-17,-0.12506764526731715,0.893884551712959,0.838319960768198,-1.3041477621333597,lowrisk
2019-09-18,0.5066666151699412,0.8679338413677031,0.8009769468554027,-1.2443855707338023,lowrisk
2019-09-19,0.6788652780046629,0.8509840378726724,0.7874156423167178,-1.2226826284013712,lowrisk
2019-09-20,0.5513612959052013,0.8432300337254554,0.7675604567874383,-1.1909072232172722,lowrisk
2019-09-23,0.07593392271006665,0.8298557390290737,0.7626954209781354,-1.183121424195259,lowrisk
2019-09-24,0.4760051308076105,0.8064001933244396,0.7422628282240585,-1.1504219607344388,lowrisk
2019-09-25,-1.285337016561221,0.792566199497577,0.7233326901238182,-1.120126962612207,highrisk
2019-09-26,0.17112425092373182,0.8513223423236157,0.8646122059911848,-1.3462247673533867,lowrisk
2019-09-27,-1.303532817548044,0.8271658339276126,0.7982035152474212,-1.239947087247257,highrisk
2019-09-30,0.8148633127226181,0.882875282271295,0.9439023719815929,-1.4731174195396046,lowrisk
2019-10-01,0.3175452539016909,0.8804495076095576,0.8609111385022932,-1.3403017343552914,lowrisk
2019-10-02,-2.162275752822507,0.8569217908594106,0.8929289070114336,-1.3915416266226464,highrisk
2019-10-04,-0.43287493023526624,1.0234231013554447,1.1549922605816672,-1.8109368134023578,lowrisk
2019-10-07,0.10466070727148269,0.9974337165193025,1.0755094052494825,-1.6837357892847578,lowrisk
2019-10-08,1.3691369955480948,0.9643719476093199,1.0664338531417903,-1.6692116567821396,lowrisk
2019-10-10,-0.9478735386040972,0.9980301957838618,1.002964450734541,-1.5676378903064272,highrisk
2019-10-11,0.9257611434367972,1.0017337345096882,1.1017439472154078,-1.7257204486351951,lowrisk
2019-10-14,1.0742035725996493,0.9964123724122647,0.9933717739359864,-1.55228617316308,lowrisk
2019-10-15,0.04009893051672098,1.0017449867156358,1.0314680159834175,-1.6132537992405869,lowrisk
2019-10-16,0.7191441203198292,0.9683499101774041,0.9757190826499685,-1.524035547281198,lowrisk
2019-10-17,-0.2717934522427276,0.9538132596022801,0.9539984253775404,-1.489274719452187,lowrisk
2019-10-18,-1.0066133142386768,0.9272282043541594,0.9345003504222111,-1.458070819035246,highrisk
2019-10-21,0.35858471477903275,0.942222198964463,0.9747595881043916,-1.5225000125004888,lowrisk
2019-10-22,1.3135149071092065,0.9158640151908227,0.926366627798515,-1.4450539508905547,lowrisk
2019-10-23,-0.4262677665294696,0.9499531525374356,0.9086384701847982,-1.4166825518667217,lowrisk
2019-10-24,0.1700039115929591,0.9284610639176972,0.9424100829436418,-1.4707292228258164,lowrisk
2019-10-25,0.1336277368562097,0.8997399635621667,0.871177712681429,-1.3567319285689683,lowrisk
2019-10-28,0.25592208156508417,0.8723938347661978,0.8723746737800249,-1.3586474948496965,lowrisk
2019-10-29,-0.08283759387847285,0.8481371560649253,0.8235113335940939,-1.2804486570313942,lowrisk
2019-10-30,-0.7377092134285471,0.8243713188511731,0.8171944491035454,-1.2703393803443375,lowrisk
2019-10-31,0.11245445800271017,0.8290053423117456,0.8306789275333335,-1.2919193733980872,lowrisk
2019-11-01,0.9418149369454539,0.8057363519423583,0.8026342973914141,-1.247037924938007,lowrisk
2019-11-04,1.4653508756758258,0.8194159316137674,0.7816836188080455,-1.2135093386708746,lowrisk
2019-11-05,0.649122541150945,0.8826098771620566,0.792307804237282,-1.2305118389127971,lowrisk
2019-11-06,0.0492122113504602,0.8708970266724234,0.829889201569583,-1.2906555291269988,lowrisk
2019-11-07,-0.05273212893323715,0.8449696059420727,0.7769481129965551,-1.2059308340182804,lowrisk
2019-11-08,-0.43700165910842215,0.8210753170070285,0.7765497981508745,-1.2052933876648493,lowrisk
2019-11-11,-0.8085432660605469,0.8089509989207327,0.7604916473577763,-1.1795945974316573,lowrisk
2019-11-12,0.9920321544066808,0.8202023507197481,0.808487690961512,-1.2564054502183717,lowrisk
2019-11-13,-0.8390452097808078,0.8364003819809472,0.7663329188076168,-1.1889427229797809,lowrisk
2019-11-14,0.9377092954198458,0.8472552767285483,0.8598252935429834,-1.338563993678011,lowrisk
2019-11-15,1.1764485189331833,0.856490255092234,0.7829863836531019,-1.2155942288246444,lowrisk
2019-11-18,-0.038301693822767054,0.8846840654197464,0.8297957024723058,-1.290505897097827,lowrisk
2019-11-19,-0.331344954756919,0.8582980811722621,0.809130887728261,-1.2574347953154708,lowrisk
2019-11-20,-1.4144277441355093,0.8395136538076152,0.7940840179238545,-1.2333544167119899,highrisk
2019-11-21,-1.4023647704535431,0.9060585562751656,0.9379819862583617,-1.4636426828304256,highrisk
2019-11-22,0.4123991120694913,0.9614795276763888,1.017711629323272,-1.5912386556726423,lowrisk
2019-11-25,0.9828823791861874,0.9353448293833002,0.9708660193497003,-1.5162689085599077,lowrisk
2019-11-26,-0.12766069467293728,0.9396178567018957,0.9483190849766813,-1.480185741555224,lowrisk
2019-11-27,0.3612738733127203,0.9110074787324333,0.9400117672736698,-1.4668910591350084,lowrisk
2019-11-28,-0.5743864423513827,0.8866286876567369,0.8905714425181285,-1.3877688394395988,lowrisk
2019-11-29,-1.5949916556870194,0.8762017662477978,0.9061881024018417,-1.412761086160008,highrisk
2019-12-02,0.2381740004529185,0.9587280004276862,1.0471333203756334,-1.6383238945897776,lowrisk
